date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret
19930129,1994-01-31,1994,1,"AP-Trees baseline (static, no TC)",0.019821629021387274,1.0,0.8773495579160783,1.0,0.8773495579160783,0.0,0.019821629021387274
19930226,1994-02-28,1994,2,"AP-Trees baseline (static, no TC)",0.02881690053314873,0.0,0.23879038399380875,0.0,0.23879038399380875,0.0,0.02881690053314873
19930331,1994-03-31,1994,3,"AP-Trees baseline (static, no TC)",0.014133185136375539,0.0,0.21702230319816956,0.0,0.21702230319816956,0.0,0.014133185136375539
19930430,1994-04-30,1994,4,"AP-Trees baseline (static, no TC)",0.016120543509016483,0.0,0.22002078522834212,0.0,0.22002078522834212,0.0,0.016120543509016483
19930528,1994-05-31,1994,5,"AP-Trees baseline (static, no TC)",0.006120557237635494,0.0,0.19952140401491425,0.0,0.19952140401491425,0.0,0.006120557237635494
19930630,1994-06-30,1994,6,"AP-Trees baseline (static, no TC)",0.00749132371125671,0.0,0.19995833886631006,0.0,0.19995833886631006,0.0,0.00749132371125671
19930730,1994-07-31,1994,7,"AP-Trees baseline (static, no TC)",0.0057291310617812894,0.0,0.906466099386494,0.0,0.906466099386494,0.0,0.0057291310617812894
19930831,1994-08-31,1994,8,"AP-Trees baseline (static, no TC)",0.0010896216133784303,0.0,0.19721418478223887,0.0,0.19721418478223887,0.0,0.0010896216133784303
19930930,1994-09-30,1994,9,"AP-Trees baseline (static, no TC)",-0.0023552951941678978,0.0,0.2009698967438262,0.0,0.2009698967438262,0.0,-0.0023552951941678978
19931029,1994-10-31,1994,10,"AP-Trees baseline (static, no TC)",0.008621878370120102,0.0,0.22912482250362082,0.0,0.22912482250362082,0.0,0.008621878370120102
19931130,1994-11-30,1994,11,"AP-Trees baseline (static, no TC)",0.016162932651556692,0.0,0.2093960580426917,0.0,0.2093960580426917,0.0,0.016162932651556692
19931231,1994-12-31,1994,12,"AP-Trees baseline (static, no TC)",0.005465785217591017,0.0,0.196006395353923,0.0,0.196006395353923,0.0,0.005465785217591017
19940131,1995-01-31,1995,1,"AP-Trees baseline (static, no TC)",0.0215006449804172,0.0,0.21909229166356825,0.0,0.21909229166356825,0.0,0.0215006449804172
19940228,1995-02-28,1995,2,"AP-Trees baseline (static, no TC)",0.0176323362647593,0.0,0.20917274556884013,0.0,0.20917274556884013,0.0,0.0176323362647593
19940331,1995-03-31,1995,3,"AP-Trees baseline (static, no TC)",0.013510711111751783,0.0,0.18924138754330294,0.0,0.18924138754330294,0.0,0.013510711111751783
19940429,1995-04-30,1995,4,"AP-Trees baseline (static, no TC)",0.011029782625344804,0.0,0.20850720647600454,0.0,0.20850720647600454,0.0,0.011029782625344804
19940531,1995-05-31,1995,5,"AP-Trees baseline (static, no TC)",0.020741029007654073,0.0,0.19047197455641307,0.0,0.19047197455641307,0.0,0.020741029007654073
19940630,1995-06-30,1995,6,"AP-Trees baseline (static, no TC)",0.011196258030324605,0.0,0.19810934349902798,0.0,0.19810934349902798,0.0,0.011196258030324605
