date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret
19930129,1994-01-31,1994,1,AP-Trees AP-pruning (static + stock-level TC),0.019821629021387274,1.0,0.8773495579160783,1.0,0.8773495579160783,0.0021933738947901957,0.01762825512659708
19930226,1994-02-28,1994,2,AP-Trees AP-pruning (static + stock-level TC),0.02881690053314873,0.0,0.23879038399380875,0.0,0.23879038399380875,0.0005969759599845219,0.028219924573164207
19930331,1994-03-31,1994,3,AP-Trees AP-pruning (static + stock-level TC),0.014133185136375539,0.0,0.21702230319816956,0.0,0.21702230319816956,0.0005425557579954239,0.013590629378380115
19930430,1994-04-30,1994,4,AP-Trees AP-pruning (static + stock-level TC),0.016120543509016483,0.0,0.22002078522834212,0.0,0.22002078522834212,0.0005500519630708553,0.015570491545945628
19930528,1994-05-31,1994,5,AP-Trees AP-pruning (static + stock-level TC),0.006120557237635494,0.0,0.19952140401491425,0.0,0.19952140401491425,0.0004988035100372857,0.005621753727598208
19930630,1994-06-30,1994,6,AP-Trees AP-pruning (static + stock-level TC),0.00749132371125671,0.0,0.19995833886631006,0.0,0.19995833886631006,0.0004998958471657751,0.006991427864090935
19930730,1994-07-31,1994,7,AP-Trees AP-pruning (static + stock-level TC),0.0057291310617812894,0.0,0.906466099386494,0.0,0.906466099386494,0.002266165248466235,0.0034629658133150543
19930831,1994-08-31,1994,8,AP-Trees AP-pruning (static + stock-level TC),0.0010896216133784303,0.0,0.19721418478223887,0.0,0.19721418478223887,0.0004930354619555972,0.0005965861514228331
19930930,1994-09-30,1994,9,AP-Trees AP-pruning (static + stock-level TC),-0.0023552951941678978,0.0,0.2009698967438262,0.0,0.2009698967438262,0.0005024247418595655,-0.0028577199360274633
19931029,1994-10-31,1994,10,AP-Trees AP-pruning (static + stock-level TC),0.008621878370120102,0.0,0.22912482250362082,0.0,0.22912482250362082,0.000572812056259052,0.00804906631386105
